tripName,Family,Sports,Art,Entertainment,History,Adventure
"Full-day Memphis, Saqqara and Dahshour",0.75,0.05,0.4,0.55,0.95,0.15
El Sawy Culture Wheel,0.25,0.05,0.95,0.95,0.05,0.2
The Aerial Studio  Pole Fitness and Aerial Arts,0.2,0.95,0.75,0.6,0,0.7
Great Sphinx of Giza,0.8,0,0.65,0,1,0.05
Private transfer from-to Luxor Airport within Luxor area,0.8,0,0.2,0.6,0.4,0.4
Baleno,0.85,0,0.1,0.7,0.05,0.4
Blue Shadow Nile Cruise,0.85,0,0.2,0.9,0.3,0.85
"Private Tour To Egyptian Museum, Citadel, Coptic Cairo & Dinner Nile Cruise",0.8,0,0.85,0.6,1,0.3
EL KHEMA,0.8,0,0.7,0.6,0.45,0.3
Genco specialty coffee,0.9,0,0.45,0.75,0.3,0.25
Aswan Philae Temple & Motorboat Tour to Nubian Village,0.7,0,0.6,0.6,0.95,0.5
Salama Color Canyon and Dahab Day Tour Adventure from Sharm,0.2,0.25,0,0.55,0,0.65
Shawish Restaurant,0.6,0,0.3,0.6,0.2,0.3
Spectra Restaurant  Cafe,0.8,0,0.6,0.75,0.4,0.4
Marsa Alam: Sea and Desert Camel Riding Tour,0.4,0.1,0,0.4,0,0.7
Opal club,0.3,0.15,0.35,0.85,0.2,0.3
Cairo Pyramids Quad Bike Adventure & Optional Camel Ride,0.3,0.5,0,0.55,0,0.65
Brazillian Coffee Stores,0.8,0,0.4,0.6,0.35,0.3
Disco cash cairo by Magnum Nights,0.6,0.05,0.35,0.85,0.2,0.25
Star Gazing-ATV Quad Bike-Camel Ride -Dinner With Show From Sharm,0.35,0,0,0.7,0,0.3
Hurghada Star Stargazing Desert Adventure by Jeep & Dinner,0.2,0,0,0.85,0,0.75
Hurghada Desert Quad Bike Camel Ride with Optional GoPro,0.05,0.6,0,0.65,0,0.65
مركز شباب ابشاق,0.7,0.9,0.2,0.8,0.3,0.6
نادي الشمس الرياضي بأسوان,0.9,1,0.4,0.75,0.35,0.65
Ml3bultras,0.2,1,0.15,0.8,0.1,0.6
Youth Bagour Sports,0.2,1,0.35,0.65,0.1,0.8
Customs Club,0.85,1,0.25,0.75,0.2,0.75
Menyet Samanoud Stadium,0.15,1,0.15,0.7,0.15,0.55
Baleno,0.5,0,0,1,0,0
Mansheya Club,0.4,1,0.2,0.7,0.2,0.55
Blue Shadow Nile Cruise,1,0,0,1,0.3,0.2
كفر سندوة,0.4,0.1,0.75,0.7,0.55,0.45
Private transfer from-to Luxor Airport within Luxor area,0.5,0,1,1,1,0
"Private Tour To Egyptian Museum, Citadel, Coptic Cairo & Dinner Nile Cruise",0.6,0,0.6,1,1,0
اكادمية جول لكرة القدم,0.15,1,0.05,0.55,0,0.3
Aswan Philae Temple & Motorboat Tour to Nubian Village,0.5,0,0.7,1,1,0
Al Fashn football stadium,0.2,1,0.1,0.7,0.15,0.4
Ghazl El Mahala Stadium,0.25,1,0.45,0.7,0.5,0.6
إستاد مطاي الرياضي,0.1,1,0.1,0.3,0.25,0.35
Dekerness Club,0.3,1,0,0.65,0,0.2
Seasons Country Club,0.8,0.9,0.2,0.5,0,0.2
